,State,Country,Region,sarimaI_CC,sarimaI_F,HWI_CC,HWI_F,LRI_CC,LRI_F,LGBMI_CC,LGBMI_F,PROPHET_CC,PROPHET_F
7797,Inner Mongolia,China,"Inner Mongolia, China",2.1107621188242005,0.0,11.564894371099411,0.0,1.6259571581796854,0.0,2.1107621188242005,0.0,25.059893279893892,0.0
7910,Jiangsu,China,"Jiangsu, China",0.0,,0.0,,0.0,,0.0,,0.4339846662051612,
8023,Jiangxi,China,"Jiangxi, China",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17279056766783565,0.0
8136,Jilin,China,"Jilin, China",1.7216795635413087,0.0,2.7408280396159563,0.0,1.8469023896458694,0.0,4.784673133044807,0.0,4.215639385516108,0.0
8249,Liaoning,China,"Liaoning, China",0.11349855746288587,0.0,0.7977599687217248,2.380952380952381,0.5035612006790658,0.0,0.09652950346006091,0.0,1.8728140496387908,0.0
8362,Macau,China,"Macau, China",0.0,,0.0,,0.0,,0.0,,4.4559708584098825,
8475,Ningxia,China,"Ningxia, China",0.0,,0.0,,0.0,,0.0,,0.0,
8588,Qinghai,China,"Qinghai, China",0.0,,0.0,,0.0,,0.0,,0.0,
8701,Shaanxi,China,"Shaanxi, China",7.913187178746906,0.0,7.913187178746906,7.936507936507938,7.913187178746906,0.0,7.913187178746906,0.0,7.85092473751505,0.0
8814,Shandong,China,"Shandong, China",0.03323664491177182,0.0,0.7284802994269644,0.0,0.8614268790740518,0.0,0.03323664491177182,0.0,0.7837930468423718,0.0
8927,Shanghai,China,"Shanghai, China",0.9445241192152182,0.0,3.411683578505694,8.163265306122447,1.358194070955583,1.7006802721088434,1.339209976535107,0.0,8.576506782397141,10.20408163265306
9040,Shanxi,China,"Shanxi, China",0.13227513227513227,,10.70689979319421,,10.468230772799302,,0.13227513227513227,,16.390199412708988,
9153,Sichuan,China,"Sichuan, China",0.0,0.0,0.1655207537560478,7.936507936507938,0.666327136915372,0.0,0.0,0.0,0.6538308065410569,0.0
9266,Tianjin,China,"Tianjin, China",0.3507487519874509,0.0,2.1260660862938807,0.0,1.2264334205968392,0.0,0.325027227755252,0.0,2.2479542672965627,0.0
9379,Tibet,China,"Tibet, China",0.0,,0.0,,0.0,,0.0,,0.0,
9492,Xinjiang,China,"Xinjiang, China",0.0,0.0,0.0,7.936507936507938,0.0,0.0,0.0,0.0,0.03132832080200501,0.0
9605,Yunnan,China,"Yunnan, China",0.25740025740025746,0.0,0.25740025740025746,2.380952380952381,0.25740025740025746,0.0,0.25740025740025746,0.0,0.16779978736500475,0.0
9718,Zhejiang,China,"Zhejiang, China",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42260069705427683,0.0
9831,,Colombia,Colombia,12.207466155418164,6.228308240307739,9.936302176773115,3.1643313195723595,17.99159879509395,23.947297499921984,24.75269954821167,23.105347663909082,13.28204197276595,10.98900059415387
9944,,Congo (Brazzaville),Congo (Brazzaville),19.73852727748969,14.278499278499273,3.7138685206621833,5.894059644059644,86.79234708011178,110.11604136604136,20.92324882900196,14.278499278499273,13.060012396405677,14.948292448292442
10057,,Congo (Kinshasa),Congo (Kinshasa),11.249165400858455,7.569769337358297,9.514880082428492,5.310788152278426,53.251823404287094,118.89980298259444,24.129531767580346,12.14963116030437,16.88457776602114,4.292362882955217
10170,,Costa Rica,Costa Rica,1.9712405582788866,10.870181405895687,0.38558468337207086,8.404195011337869,0.5626370521945696,5.58390022675737,5.500656516168478,10.870181405895687,13.881240985800527,6.768707482993197
10283,,Cote d'Ivoire,Cote d'Ivoire,4.874434402219449,21.09489094783213,2.2269562705306294,4.564223125147496,82.95771362623566,68.71932961218675,19.489709894635958,24.461592329239387,5.7412027750581665,17.56877964861159
10396,,Croatia,Croatia,3.0339502589119176,9.103752227897337,4.038820552359205,17.52830412872895,3.7260159510041593,11.277077617515713,5.588407693865886,17.387492196390557,14.851373283379733,6.950453554025119
10509,,Cuba,Cuba,3.3894383119144478,7.374761934213432,6.217356322917572,2.525371867293708,17.568668423428242,5.395469166546694,17.504016168701895,23.873385741852942,4.961326475395874,13.833517834516854
10622,,Cyprus,Cyprus,3.0911700435722675,10.063179117800969,3.2104641547642894,1.9288548752834465,5.138550580401947,2.07766439909297,5.531660727196393,10.063179117800969,19.32589458302901,5.117552071333583
10735,,Czechia,Czechia,0.28211380842078526,1.5026243604023786,3.7875170893754015,3.5694315128418843,9.922083601505822,2.6129089775295102,6.848968868829701,12.820404175141023,11.92062363729355,15.424924443383551
10848,Faroe Islands,Denmark,"Faroe Islands, Denmark",0.6241612123965066,,1.0061321826027707,,2.2536287242169597,,0.5347593582887697,,1.6111949252977515,
10961,Greenland,Denmark,"Greenland, Denmark",0.0,,0.0,,0.0,,0.0,,4.567099567099565,
11074,,Denmark,Denmark,2.966109694424889,1.2700336345112346,0.8296768348908597,2.8433434073759907,3.014687939148942,1.0792615279807503,11.151610420097484,12.690055449961498,9.409097229703715,9.828746403650527
11187,,Diamond Princess,Diamond Princess,0.0,3.663003663003662,0.0,8.058608058608058,0.0,0.0,0.0,0.0,0.19729802033172822,5.627705627705624
11300,,Djibouti,Djibouti,16.81460469924499,7.8431372549019605,39.94511543053883,16.176470588235293,191.65441371917905,258.8235294117647,12.391036555894203,7.8431372549019605,32.964676578218985,inf
11413,,Dominica,Dominica,0.0,,3.571428571428571,,0.0,,0.0,,15.456349206349207,
11526,,Dominican Republic,Dominican Republic,2.9303157688315236,3.4181255860449187,5.03667919687709,4.419026848741901,39.81767223026302,55.84208927659463,20.144604835575304,16.00700947399785,8.874507327674449,7.307807937343296
11639,,Ecuador,Ecuador,31.320031821376915,21.9904597905757,22.459159849679317,17.418447320341794,21.289583393122534,8.767667879385794,32.09175783987875,28.45188976054241,25.197888139975223,18.955202014813207
11752,,Egypt,Egypt,12.067965224531026,1.717518009802022,10.116625411589984,2.5681530731722515,3.8121194530519293,4.8349619166424125,25.304557262406334,21.34293312962506,13.758065835053019,7.99835923559636
11865,,El Salvador,El Salvador,15.883108889851256,13.61870836135542,14.692584229699534,9.758166864259302,10.831752635933793,8.237940281007509,28.903129414966806,18.99471851677734,18.684260481822662,14.014965737654816
11978,,Equatorial Guinea,Equatorial Guinea,33.876800397053785,100.0,24.44509829085723,100.0,35.04438943209895,100.0,36.81453705845864,100.0,51.0859835830747,100.0
12091,,Eritrea,Eritrea,11.5995115995116,,27.10622710622711,,62.75946275946277,,0.0,,21.06058535073968,
12204,,Estonia,Estonia,1.431909449072998,9.06215325454758,7.998124677291339,8.811725411374631,10.25428021875442,1.4874918111453104,4.883311678616434,12.821293745577215,12.852059660060537,14.051740191677165
12317,,Eswatini,Eswatini,33.65796068045907,14.285714285714285,32.99081168990582,14.285714285714285,78.61320351146342,658.9285714285714,39.04367543164238,14.285714285714285,40.700810842354784,1.7857142857142856
12430,,Ethiopia,Ethiopia,10.153041237007285,7.692307692307692,11.306506351971203,3.4188034188034186,18.326074555712214,37.77777777777778,14.752794385596632,7.692307692307692,8.217664151887238,inf
12543,,Fiji,Fiji,3.1746031746031758,,2.645502645502646,,3.1746031746031758,,3.1746031746031758,,32.26821284069183,
12656,,Finland,Finland,0.6783569279423295,13.82901889192199,4.681935231733046,12.032563396914437,17.41486214807839,13.200064823092191,13.895370298089013,30.79474852284596,4.902695772004595,21.93552849105599
12769,French Guiana,France,"French Guiana, France",6.204458107605448,100.0,1.9595849618230736,100.0,13.670079913444175,100.0,12.624525889454455,100.0,4.886937708415165,100.0
12882,French Polynesia,France,"French Polynesia, France",3.2340703976690492,,2.297075817622875,,3.2340703976690492,,3.2340703976690492,,17.01102874867676,
12995,Guadeloupe,France,"Guadeloupe, France",0.7058252492368869,19.230769230769234,2.8317891602726184,17.567155067155063,4.264549745519995,15.628815628815627,1.1830409950910168,19.230769230769234,5.79832280032753,12.53815628815629
13108,Martinique,France,"Martinique, France",2.571173844212383,12.443310657596369,0.6917096686605098,18.22562358276644,6.416128390246882,6.632653061224489,4.58679391401294,7.823129251700678,1.1991448300301157,12.17403628117914
13221,Mayotte,France,"Mayotte, France",16.500716251576154,14.923383494812068,14.250744020342824,15.231567374424515,3.116066897241748,21.1619597333883,27.33422608144981,14.923383494812068,20.227763485798793,15.77200577200577
13334,New Caledonia,France,"New Caledonia, France",0.0,,0.0,,0.0,,0.0,,3.1823840647370067,
