State,LGBMI_CC,LGBMI_F,HWI_CC,HWI_F,LRI_CC,LRI_F,LRII_CC,LRII_F,Poly_CC,Poly_F,Lasso_CC,Lasso_F,Ridge_CC,Ridge_F,PROPHET_CC,PROPHET_F
Goa,54.032085561497325,2.121212121212121,10.647058823529411,0.0,24212.41176470588,0.0,4.588235294117647,0.0,4.588235294117647,0.0,3.588235294117647,0.0,4.588235294117647,0.0,92.6470588235294,0.0
Gujarat,374.1764705882353,23.705882352941178,124.52941176470588,5.882352941176471,751.3529411764706,76.88235294117646,6455.470588235294,7.117647058823529,136.47058823529412,16.11764705882353,375.05882352941177,0.0,799.1176470588235,22.176470588235293,173.35294117647058,6.529411764705882
Haryana,78.74509803921569,1.9590017825311943,16.176470588235293,0.23529411764705882,22.0,0.29411764705882354,73.0,2099059.6470588236,27.88235294117647,3.176470588235294,44.1764705882353,0.0,53.1764705882353,0.6470588235294118,25.941176470588236,0.6470588235294118
Himachal Pradesh,62.386809269162214,2.1515151515151514,7.9411764705882355,0.11764705882352941,57464.64705882353,28737.58823529412,154273986647.47058,0.17647058823529413,11.235294117647058,0.9411764705882353,11.705882352941176,0.0,11.117647058823529,0.17647058823529413,8.058823529411764,0.17647058823529413
Jammu and Kashmir,92.6470588235294,2.049910873440285,48.8235294117647,0.5882352941176471,2190.823529411765,41.35294117647059,13364799759975.824,197748182.3529412,32.05882352941177,5303409339.117647,74.29411764705883,0.0,92.82352941176471,0.9411764705882353,79.76470588235294,3.4705882352941178
Jharkhand,64.93582887700535,2.0659536541889483,10.352941176470589,0.058823529411764705,13.235294117647058,0.058823529411764705,133.23529411764707,9998565.235294119,17.647058823529413,1.588235294117647,17.11764705882353,0.0,19.11764705882353,0.058823529411764705,12.294117647058824,0.058823529411764705
Karnataka,123.65953654188948,2.263814616755793,30.823529411764707,0.5882352941176471,412.05882352941177,8.235294117647058,76.41176470588235,0.8823529411764706,66.29411764705883,0.8823529411764706,106.52941176470588,0.0,101.41176470588235,0.8823529411764706,41.1764705882353,0.7647058823529411
Kerala,73.31550802139037,1.9554367201426024,9.352941176470589,0.17647058823529413,251.1764705882353,90.88235294117646,17.058823529411764,7005311.117647059,3058311.588235294,2.2941176470588234,30.41176470588235,0.0,27.764705882352942,0.17647058823529413,11.941176470588236,0.17647058823529413
Ladakh,53.8680926916221,2.121212121212121,0.7058823529411765,0.0,0.5882352941176471,0.0,11787231.647058824,0.0,49.470588235294116,0.0,1.0588235294117647,0.0,0.6470588235294118,0.0,0.7647058823529411,0.0
Madhya Pradesh,208.52941176470588,5.60427807486631,33.588235294117645,1.588235294117647,203.1764705882353,2.411764705882353,24116749812830.06,3.6470588235294117,149.05882352941177,3.2941176470588234,170.94117647058823,0.0,321.2352941176471,4.411764705882353,112.94117647058823,2.9411764705882355
Maharashtra,1919.7754010695187,58.5222816399287,337.11764705882354,10.529411764705882,692.9411764705883,15.411764705882353,246685491112357.72,57.411764705882355,959.3529411764706,49.94117647058823,1942.235294117647,0.0,2240.705882352941,57.8235294117647,404.05882352941177,14.117647058823529
Manipur,54.91800356506239,2.121212121212121,1.8823529411764706,0.0,2.176470588235294,0.0,115085.5294117647,0.0,9.235294117647058,0.0,2.4705882352941178,0.0,2.4705882352941178,0.0,2.235294117647059,0.0
Meghalaya,53.839572192513366,2.121212121212121,0.4117647058823529,0.0,0.4117647058823529,0.0,1.3529411764705883,0.0,2.0,0.0,0.4117647058823529,0.0,2.411764705882353,0.0,0.47058823529411764,0.0
Mizoram,53.79500891265597,2.121212121212121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagaland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Odisha,98.99108734402851,1.964349376114082,17.058823529411764,0.17647058823529413,20.823529411764707,0.47058823529411764,84.05882352941177,0.35294117647058826,145.88235294117646,2.176470588235294,72.29411764705883,0.0,78.11764705882354,0.23529411764705882,42.11764705882353,0.23529411764705882
Puducherry,54.761140819964346,2.1336898395721926,1.7647058823529411,0.0,8.647058823529411,9.941176470588236,92358786340.29411,0.058823529411764705,4.764705882352941,0.058823529411764705,2.0,0.0,3.4705882352941178,0.058823529411764705,1869.5882352941176,0.058823529411764705
Punjab,61.032085561497325,2.0766488413547237,7.235294117647059,0.4117647058823529,11.294117647058824,2.1176470588235294,171.2941176470588,252062028.94117647,171.94117647058823,19.705882352941178,10.823529411764707,0.0,23.11764705882353,0.7058823529411765,11.764705882352942,0.7647058823529411
Rajasthan,221.35115864527629,3.8680926916221035,42.0,1.1176470588235294,334.3529411764706,8.588235294117647,204.88235294117646,29649489.470588237,111.29411764705883,2905503502.529412,209.1764705882353,0.0,248.58823529411765,2.235294117647059,102.05882352941177,1.2941176470588236
Sikkim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tamil Nadu,597.2085561497327,4.976827094474153,123.88235294117646,1.411764705882353,212.0,1.411764705882353,107191122414944.12,3.8823529411764706,521.8823529411765,32.705882352941174,628.8235294117648,0.0,700.6470588235294,3.3529411764705883,152.11764705882354,1.8235294117647058
Telengana,82.61319073083779,2.950089126559715,12.235294117647058,1.2941176470588236,22.88235294117647,1.2352941176470589,1082072097.3529413,1.7647058823529411,35.529411764705884,128305811586.94118,51.0,0.0,50.529411764705884,1.6470588235294117,27.41176470588235,1.7058823529411764
Tripura,56.22281639928699,2.121212121212121,3.235294117647059,0.0,3.7058823529411766,0.0,10145287153978.295,0.0,164.94117647058823,0.0,22.0,0.0,11.117647058823529,0.0,4.647058823529412,0.0
Unassigned,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uttar Pradesh,216.7860962566845,6.2174688057041,84.41176470588235,2.176470588235294,2.0975273739652407e+23,8.487104981362246e+21,218.7058823529412,4882070.117647059,263.05882352941177,4.117647058823529,189.64705882352942,0.0,314.94117647058823,4.764705882352941,102.58823529411765,4.823529411764706
Uttarakhand,73.6934046345811,1.9554367201426024,20.705882352941178,0.17647058823529413,21.647058823529413,0.4117647058823529,5439719759.0,0.47058823529411764,24.41176470588235,0.47058823529411764,22.705882352941178,0.0,23.235294117647058,0.47058823529411764,19.529411764705884,0.17647058823529413
West Bengal,144.70944741532978,5.6310160427807485,23.470588235294116,3.176470588235294,274.88235294117646,11.764705882352942,5923495465423.0,5.529411764705882,158.7058823529412,23.11764705882353,133.1764705882353,0.0,162.23529411764707,3.0,40.0,4.235294117647059
